flrID,catalog,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,submissionTime,versionId,link,linkedEvents,sentNotifications
2024-11-07T07:20:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-07T07:20Z,2024-11-07T07:26Z,2024-11-07T07:36Z,M1.3,S09E05,13883.0,,2024-11-07T12:13Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34492/-1,,
2024-11-07T07:36:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-07T07:36Z,2024-11-07T07:43Z,2024-11-07T07:46Z,M1.6,S11E85,13889.0,,2024-11-07T12:17Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34493/-1,,
2024-11-07T07:46:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-07T07:46Z,2024-11-07T07:54Z,2024-11-07T08:01Z,M2.7,S11E85,13889.0,,2024-11-07T12:19Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34494/-1,,
2024-11-07T11:53:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-07T11:53Z,2024-11-07T12:02Z,2024-11-07T12:11Z,M1.4,S08E78,13889.0,,2024-11-07T12:21Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34495/-1,,
2024-11-07T14:49:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-07T14:49Z,2024-11-07T15:06Z,2024-11-07T15:20Z,M2.3,S08W03,13883.0,,2024-11-07T15:40Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34502/-1,,
2024-11-08T02:53:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-08T02:53Z,2024-11-08T03:01Z,2024-11-08T03:12Z,M1.5,S06W07,13883.0,,2024-11-08T03:16Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34516/-1,,
2024-11-09T20:44:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-09T20:44Z,2024-11-09T20:50Z,2024-11-09T20:54Z,M1.2,S10E37,13889.0,,2024-11-09T21:02Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34542/-1,,
2024-11-10T00:04:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-10T00:04Z,2024-11-10T00:15Z,2024-11-10T00:23Z,M4.2,S07E34,13889.0,,2024-11-10T00:30Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34545/-1,,
2024-11-10T11:51:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-10T11:51Z,2024-11-10T12:06Z,2024-11-10T12:14Z,M9.4,S10E27,13889.0,,2024-11-10T13:11Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34546/-1,[{'activityID': '2024-11-10T12:36:00-CME-001'}],"[{'messageID': '20241110-AL-001', 'messageIssueTime': '2024-11-10T12:10Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/34547/1'}, {'messageID': '20241110-AL-002', 'messageIssueTime': '2024-11-10T13:11Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/34548/1'}]"
2024-11-10T15:51:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-10T15:51Z,2024-11-10T15:58Z,2024-11-10T16:06Z,C6.7,S10E30,13889.0,,2024-11-10T22:15Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34554/-1,[{'activityID': '2024-11-10T17:12:00-CME-001'}],
2024-11-10T20:09:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-10T20:09Z,2024-11-10T20:21Z,2024-11-10T20:34Z,M4.9,S12E35,13889.0,,2024-11-10T20:40Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34553/-1,,
2024-11-10T22:31:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-10T22:31Z,2024-11-10T22:53Z,2024-11-10T23:25Z,C8.4,S09W98,13881.0,,2024-11-11T00:08Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34558/-1,[{'activityID': '2024-11-10T23:09:00-CME-001'}],
2024-11-11T05:07:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-11T05:07Z,2024-11-11T05:26Z,2024-11-11T05:36Z,M1.1,S08E19,13889.0,,2024-11-11T12:32Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34563/-1,,
2024-11-11T05:36:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-11T05:36Z,2024-11-11T05:43Z,2024-11-11T05:52Z,M1.4,S08E17,13889.0,,2024-11-11T12:32Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34564/-1,,
2024-11-12T12:47:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-12T12:47Z,2024-11-12T14:01Z,2024-11-12T14:39Z,C8.2,N15W90,,,2024-11-13T14:55Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34597/-1,[{'activityID': '2024-11-12T13:36:00-CME-001'}],
2024-11-13T00:11:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-13T00:11Z,2024-11-13T00:22Z,2024-11-13T00:32Z,M1.0,S12E02,13889.0,Flare occurs centered between active regions 13889 and 13892.,2024-11-13T02:18Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34587/-1,,
2024-11-13T16:57:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-13T16:57Z,2024-11-13T17:08Z,2024-11-13T17:17Z,M1.7,S09W10,13889.0,,2024-11-13T18:54Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34598/-1,,
2024-11-15T01:38:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-15T01:38Z,2024-11-15T01:47Z,2024-11-15T02:08Z,M1.1,S19E47,13893.0,,2024-11-15T03:15Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34635/-1,[{'activityID': '2024-11-15T02:48:00-CME-001'}],
2024-11-15T12:05:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-15T12:05Z,2024-11-15T12:18Z,2024-11-15T12:26Z,M1.0,S20E43,13893.0,,2024-11-15T16:14Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34636/-1,,
2024-11-16T01:26:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2024-11-16T01:26Z,2024-11-16T01:37Z,2024-11-16T01:41Z,M1.6,S10W35,13892.0,AR 3889 (S10W39) was in close proximity to AR 3892 (S10W35) and maybe also have been the source of this flare.,2024-11-20T19:12Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/34658/-1,,
